name,smiles,p_crbn_glue,ppil4_affinity_kcal_mol,p_ppil4_bind,mgd_composite_score,error
cand_0,CCc1ccc(OC)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-5.984,0.37378804216497713,0.35136075963507846,
cand_1,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.99,-5.861,0.3454726257289133,0.34201789947162414,
cand_2,NC(=O)c1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.132,0.40902438033162597,0.3803926737084122,
cand_3,Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.048,0.3888853534879901,0.3694410858135906,
cand_4,COc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.125,0.40733340004593027,0.37678339504248554,
cand_5,NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.48,0.4950001666600004,0.46530015666040037,
cand_6,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,-5.642,0.2977573722693818,0.294779798546688,
cand_7,O=C1CCC(N2C(=O)c3cccc(I)c3C2=O)C(=O)N1,0.965,-5.734,0.3173450210892312,0.3062379453511081,
cand_8,COc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,-6.219,0.43020862980746033,0.4259065435093857,
cand_9,N#Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,-6.349,0.46232156497496213,0.45076352585058804,
cand_10,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.131,0.40878267890407904,0.38016789138079354,
cand_11,N#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,-6.435,0.48375571893792746,0.47166182596447925,
cand_12,NS(=O)(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-6.494,0.4985000044999837,0.4835450043649842,
cand_13,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3C2=O)C(=O)N1,0.96,-6.43,0.48250714233361014,0.46320685664026573,
cand_14,O=C1CCC(N2C(=O)c3ccc(Br)cc3C2=O)C(=O)N1,0.95,-5.958,0.36772245406522486,0.3493363313619636,
cand_15,CCc1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.134,0.4095079150234363,0.3910800588473817,
cand_16,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,-5.931,0.3614676016364688,0.35243091159555706,
cand_17,O=C1CCC(N2C(=O)c3cc(Cl)c([N+](=O)[O-])cc3C2=O)C(=O)N1,0.925,-5.988,0.3747247960009129,0.34662043630084444,
cand_18,O=C1CCC(N2C(=O)c3cccc([N+](=O)[O-])c3C2=O)C(=O)N1,0.895,-5.681,0.30597597335744864,0.2738484961549165,
cand_19,Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-5.938,0.3630848247195855,0.35582312822519374,
cand_20,Nc1cc2c(c(S(N)(=O)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.826,0.33760175331005493,0.32240967441110246,
cand_21,CCc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-5.916,0.35801271400436063,0.3472723325842298,
cand_22,NC(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.172,0.41872733339077445,0.38732278338646636,
cand_23,O=C1CCC(N2C(=O)c3c(Cl)ccc(I)c3C2=O)C(=O)N1,0.925,-5.714,0.31302819161693013,0.28955107724566037,
cand_24,NS(=O)(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.187,0.4223826423094693,0.39070394413625914,
cand_25,O=C1CCC(N2C(=O)c3ccc(F)c(I)c3C2=O)C(=O)N1,0.965,-5.845,0.3418636849519818,0.32989845597866246,
cand_26,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])c(I)c3C2=O)C(=O)N1,0.91,-6.061,0.3919792750146393,0.3567011402633218,
cand_27,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.98,-6.102,0.4017929560806008,0.39375709695898875,
cand_28,N#Cc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.287,0.446950415720503,0.4268376470130803,
cand_29,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(O)c3C2=O)C(=O)N1,0.915,-6.323,0.4558651649008342,0.4171166258842633,
