name,smiles,p_crbn_binder,p_crbn_glue,p_ppil4_bind,mgd_composite_score,rank_03,rank_04,combined_rank
cand_327,N#Cc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,0.965,0.5344453525682101,0.5157397652283228,5,4,9
cand_224,N#Cc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,0.95,0.5119976965307179,0.486397811704182,13,3,16
cand_65,N#Cc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,0.94,0.579811589996925,0.5450228945971094,2,52,54
cand_324,N#Cc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,0.92,0.5232332570433341,0.4813745964798674,16,45,61
cand_9,N#Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,0.975,0.46480828456469886,0.4531880774505814,51,11,62
cand_70,Cc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,0.935,0.5169934523609448,0.4833888779574835,14,53,67
cand_205,N#Cc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,0.97,0.4872527628438865,0.4726351799585699,33,40,73
cand_255,Cc1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,0.95,0.49875000260416025,0.47381250247395224,31,42,73
cand_31,O=C1CCC(N2C(=O)c3cccc(C(F)(F)F)c3C2=O)C(=O)N1,0.985,0.975,0.45760205922564895,0.4461620077450077,60,15,75
cand_35,COc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,0.955,0.49750002083312506,0.4751125198956344,27,49,76
cand_12,NS(=O)(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,0.97,0.49450022182259706,0.47966521516791916,18,71,89
cand_127,N#Cc1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,0.955,0.5167437369156502,0.49349026875444596,10,91,101
cand_11,N#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,0.975,0.4855040634663888,0.4733664618797291,32,70,102
cand_101,NS(=O)(=O)c1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,0.925,0.4655546474317898,0.4306380488744056,96,32,128
cand_482,NS(=O)(=O)c1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,0.945,0.5067495899673914,0.47887836251918486,21,109,130
cand_57,CN(C)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,0.98,0.43266161298300315,0.42400838072334307,113,18,131
cand_349,NS(=O)(=O)c1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,0.95,0.47726568640604844,0.453402402085746,49,82,131
cand_393,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.96,0.93,0.5453748194649927,0.5071985821024432,7,125,132
cand_415,N#Cc1ccc2c(c1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,0.89,0.5332010732738305,0.47454895521370916,29,105,134
cand_451,NS(=O)(=O)c1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,0.95,0.4675456936126812,0.4441684089320471,69,66,135
