name,smiles,p_crbn_binder,predicted_active
cand_0,CCc1ccc(OC)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,1
cand_1,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.985,1
cand_2,NC(=O)c1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,1
cand_3,Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_4,COc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,1
cand_5,NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_6,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,1
cand_7,O=C1CCC(N2C(=O)c3cccc(I)c3C2=O)C(=O)N1,0.95,1
cand_8,COc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_9,N#Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,1
cand_10,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,1
cand_11,N#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_12,NS(=O)(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_13,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3C2=O)C(=O)N1,0.96,1
cand_14,O=C1CCC(N2C(=O)c3ccc(Br)cc3C2=O)C(=O)N1,0.99,1
cand_15,CCc1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,1
cand_16,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_17,O=C1CCC(N2C(=O)c3cc(Cl)c([N+](=O)[O-])cc3C2=O)C(=O)N1,0.895,1
cand_18,O=C1CCC(N2C(=O)c3cccc([N+](=O)[O-])c3C2=O)C(=O)N1,0.89,1
cand_19,Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,1
cand_20,Nc1cc2c(c(S(N)(=O)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_21,CCc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,1
cand_22,NC(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
cand_23,O=C1CCC(N2C(=O)c3c(Cl)ccc(I)c3C2=O)C(=O)N1,0.86,1
cand_24,NS(=O)(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_25,O=C1CCC(N2C(=O)c3ccc(F)c(I)c3C2=O)C(=O)N1,0.96,1
cand_26,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])c(I)c3C2=O)C(=O)N1,0.91,1
cand_27,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.985,1
cand_28,N#Cc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_29,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(O)c3C2=O)C(=O)N1,0.95,1
cand_30,CNc1cc2c(c([N+](=O)[O-])c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.88,1
cand_31,O=C1CCC(N2C(=O)c3cccc(C(F)(F)F)c3C2=O)C(=O)N1,0.985,1
cand_32,O=C1CCC(N2C(=O)c3ccc(Cl)cc3C2=O)C(=O)N1,0.98,1
cand_33,O=C1CCC(N2C(=O)c3cccc(Br)c3C2=O)C(=O)N1,0.985,1
cand_34,Nc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,1
cand_35,COc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_36,Cc1ccc(C#N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_37,CCc1ccc(CC)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,1
cand_38,O=C1CCC(N2C(=O)c3ccc(F)cc3C2=O)C(=O)N1,0.99,1
cand_39,CCc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_40,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_41,CNc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,1
cand_42,NC(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_43,NC(=O)c1cc(C(N)=O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,1
cand_44,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_45,O=C1CCC(N2C(=O)c3cccc(Cl)c3C2=O)C(=O)N1,0.98,1
cand_46,CCc1ccc(O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,1
cand_47,CNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_48,O=C1CCC(N2C(=O)c3cccc(F)c3C2=O)C(=O)N1,0.93,1
cand_49,CNc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_50,CN(C)c1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,1
cand_51,CCc1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,1
cand_52,NC(=O)c1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_53,Cc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,1
cand_54,O=C1CCC(N2C(=O)c3ccc(C(=O)O)cc3C2=O)C(=O)N1,0.965,1
cand_55,COc1cc2c(cc1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
cand_56,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,0.995,1
cand_57,CN(C)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,1
cand_58,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)C(=O)N1,0.945,1
cand_59,NC(=O)c1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,1
cand_60,NC(=O)c1ccc2c(c1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_61,CCc1cc2c(cc1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,1
cand_62,O=C1CCC(N2C(=O)c3cccc(C(=O)O)c3C2=O)C(=O)N1,0.9,1
cand_63,NC(=O)c1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,1
cand_64,COc1ccc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_65,N#Cc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_66,N#Cc1cc2c(cc1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,1
cand_67,Cc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_68,O=C1CCC(N2C(=O)c3ccc(Br)c(O)c3C2=O)C(=O)N1,0.99,1
cand_69,CNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_70,Cc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_71,CCc1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_72,CCc1ccc(I)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.88,1
cand_73,CN(C)c1cc2c(cc1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
