name,crbn_affinity,ppil4_affinity,combined_affinity,score,dockq,irmsd,fnat,lrmsd
cand_211,-8.759,-7.093,-15.852,-151.761,0.319,6.784,0.392,49.299
cand_160,-9.094,-6.135,-15.229,-169.852,0.289,7.438,0.338,48.727
cand_13,-8.808,-6.367,-15.175,-167.235,0.286,9.006,0.336,56.253
cand_5,-9.325,-6.481,-15.806,-148.565,0.282,7.682,0.321,59.484
cand_123,-8.863,-6.14,-15.003,-148.565,0.282,7.682,0.321,59.484
cand_54,-8.969,-6.17,-15.139,-163.223,0.278,8.931,0.314,68.155
cand_127,-9.917,-6.579,-16.496,-175.957,0.267,8.844,0.280,57.954
cand_65,-9.735,-6.682,-16.417,-175.957,0.267,8.844,0.280,57.954
cand_415,-9.721,-6.613,-16.334,-175.957,0.267,8.844,0.280,57.954
cand_70,-9.601,-6.447,-16.048000000000002,-175.957,0.267,8.844,0.280,57.954
cand_12,-9.577,-6.434,-16.011,-175.957,0.267,8.844,0.280,57.954
cand_265,-9.543,-6.262,-15.805,-175.957,0.267,8.844,0.280,57.954
cand_136,-9.33,-6.449,-15.779,-175.957,0.267,8.844,0.280,57.954
cand_231,-9.545,-6.063,-15.608,-175.957,0.267,8.844,0.280,57.954
cand_324,-8.757,-6.63,-15.387,-138.955,0.267,10.579,0.285,65.782
cand_146,-8.917,-6.405,-15.322,-175.957,0.267,8.844,0.280,57.954
cand_478,-8.812,-6.35,-15.161999999999999,-138.955,0.267,10.579,0.285,65.782
cand_224,-8.43,-6.541,-14.971,-138.955,0.267,10.579,0.285,65.782
cand_266,-8.431,-6.503,-14.934,-138.955,0.267,10.579,0.285,65.782
cand_205,-8.516,-6.381,-14.897,-,-,-,-,-
