name,smiles,p_crbn_glue,ppil4_affinity_kcal_mol,p_ppil4_bind,mgd_composite_score,error
cand_0,CCc1ccc(OC)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-5.966,0.36958443572831806,0.34740936958461893,
cand_1,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.99,-5.855,0.3441171587921864,0.34067598720426456,
cand_2,NC(=O)c1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.071,0.3943651475990001,0.3667595872670701,
cand_3,Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.026,0.38366993526996107,0.364486438506463,
cand_4,COc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.836,0.33984164027624275,0.3143535172555246,
cand_5,NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.491,0.4977500151873769,0.46788501427613427,
cand_6,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,-5.624,0.29400736238095615,0.2910672887571466,
cand_7,O=C1CCC(N2C(=O)c3cccc(I)c3C2=O)C(=O)N1,0.965,-5.693,0.3085301456820691,0.29773159058319665,
cand_8,COc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,-6.214,0.4289834140841794,0.4246935799433376,
cand_9,N#Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,-6.359,0.46480828456469886,0.4531880774505814,
cand_10,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.142,0.4114437956141709,0.3826427299211789,
cand_11,N#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,-6.442,0.4855040634663888,0.4733664618797291,
cand_12,NS(=O)(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-6.478,0.49450022182259706,0.47966521516791916,
cand_13,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3C2=O)C(=O)N1,0.96,-6.429,0.48225745272227205,0.46296715461338117,
cand_14,O=C1CCC(N2C(=O)c3ccc(Br)cc3C2=O)C(=O)N1,0.95,-5.857,0.344568700496514,0.32734026547168826,
cand_15,CCc1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.041,0.38722307845001697,0.3697980399197662,
cand_16,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,-5.935,0.3623913473780748,0.35333156369362295,
cand_17,O=C1CCC(N2C(=O)c3cc(Cl)c([N+](=O)[O-])cc3C2=O)C(=O)N1,0.925,-6.006,0.3789517236191712,0.35053034434773334,
cand_18,O=C1CCC(N2C(=O)c3cccc([N+](=O)[O-])c3C2=O)C(=O)N1,0.895,-5.778,0.32695272142812526,0.2926226856781721,
cand_19,Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-5.936,0.3626224430183002,0.3553699941579342,
cand_20,Nc1cc2c(c(S(N)(=O)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.839,0.34051501120859845,0.3251918357042115,
cand_21,CCc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-5.845,0.3418636849519818,0.3316077744034224,
cand_22,NC(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.19,0.4231147388679538,0.3913811334528573,
cand_23,O=C1CCC(N2C(=O)c3c(Cl)ccc(I)c3C2=O)C(=O)N1,0.925,-5.772,0.32563376699756175,0.3012112344727446,
cand_24,NS(=O)(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.176,0.41970122771085155,0.3882236356325377,
cand_25,O=C1CCC(N2C(=O)c3ccc(F)c(I)c3C2=O)C(=O)N1,0.965,-5.86,0.34524653939368083,0.333162910514902,
cand_26,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])c(I)c3C2=O)C(=O)N1,0.91,-6.091,0.39915192661382193,0.363228253218578,
cand_27,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.98,-6.115,0.40492152613386606,0.3968230956111887,
cand_28,N#Cc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.294,0.4486813516217847,0.42849069079880436,
cand_29,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(O)c3C2=O)C(=O)N1,0.915,-6.406,0.47651728855732467,0.4360133190299521,
cand_30,CNc1cc2c(c([N+](=O)[O-])c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,-5.998,0.37707077661573785,0.3374783450710854,
cand_31,O=C1CCC(N2C(=O)c3cccc(C(F)(F)F)c3C2=O)C(=O)N1,0.975,-6.33,0.45760205922564895,0.4461620077450077,
cand_32,O=C1CCC(N2C(=O)c3ccc(Cl)cc3C2=O)C(=O)N1,0.985,-5.779,0.3271728141356072,0.3222652219235731,
cand_33,O=C1CCC(N2C(=O)c3cccc(Br)c3C2=O)C(=O)N1,0.95,-5.876,0.3488722613965951,0.33142864832676533,
cand_34,Nc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-5.901,0.35457251132431217,0.33507102320147497,
cand_35,COc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.49,0.49750002083312506,0.4751125198956344,
cand_36,Cc1ccc(C#N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.15,0.41338242108267004,0.3885794758177098,
cand_37,CCc1ccc(CC)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-5.686,0.30703877557453374,0.28554606128431637,
cand_38,O=C1CCC(N2C(=O)c3ccc(F)cc3C2=O)C(=O)N1,0.975,-5.829,0.33827296024355347,0.32981613623746464,
cand_39,CCc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.939,0.36331611060163677,0.34696688562456307,
cand_40,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-6.096,0.4003516774075941,0.3883411270853663,
cand_41,CNc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.885,0.35091947575542665,0.3246005150737697,
cand_42,NC(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.238,0.4348721276091599,0.40443107867651873,
cand_43,NC(=O)c1cc(C(N)=O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,-6.564,0.515994540902702,0.4618151141079183,
cand_44,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.68,0.3057636598919694,0.2920042951968308,
cand_45,O=C1CCC(N2C(=O)c3cccc(Cl)c3C2=O)C(=O)N1,0.96,-5.887,0.35137516146584247,0.33732015500720874,
cand_46,CCc1ccc(O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.949,0.3656324324816124,0.3382100000454915,
cand_47,CNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-5.993,0.3758970584521039,0.3646201466985408,
cand_48,O=C1CCC(N2C(=O)c3cccc(F)c3C2=O)C(=O)N1,0.945,-5.832,0.33894481880658406,0.3203028537722219,
cand_49,CNc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.292,0.4481866697668298,0.4280182696273224,
cand_50,CN(C)c1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.021,0.38248828845677607,0.35571410826480176,
cand_51,CCc1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.06,0.39174096925348545,0.376071330483346,
cand_52,NC(=O)c1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,-6.299,0.44991849846956017,0.39817787114556075,
cand_53,Cc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-6.273,0.44349244003649396,0.4035781204332095,
cand_54,O=C1CCC(N2C(=O)c3ccc(C(=O)O)cc3C2=O)C(=O)N1,0.98,-6.212,0.4284935705324441,0.41992369912179517,
cand_55,COc1cc2c(cc1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-5.922,0.35939292336051193,0.34142327719248633,
cand_56,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,0.995,-5.834,0.3393930855057322,0.33769612007820354,
cand_57,CN(C)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-6.229,0.43266161298300315,0.42400838072334307,
cand_58,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)C(=O)N1,0.945,-6.382,0.47053418223877286,0.44465480221564035,
cand_59,NC(=O)c1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.252,0.43831582833818417,0.4120168786378931,
cand_60,NC(=O)c1ccc2c(c1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.538,0.5094988569983825,0.4789289255784795,
cand_61,CCc1cc2c(cc1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.081,0.3967560660975218,0.3769182627926457,
cand_62,O=C1CCC(N2C(=O)c3cccc(C(=O)O)c3C2=O)C(=O)N1,0.935,-6.059,0.3915027150842438,0.366055038603768,
cand_63,NC(=O)c1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.157,0.4150809257548097,0.39225147483829514,
cand_64,COc1ccc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.128,0.40805783960041075,0.39377581521439636,
cand_65,N#Cc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.822,0.579811589996925,0.5450228945971094,
cand_66,N#Cc1cc2c(cc1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.539,0.5097487643754381,0.4766150946910347,
cand_67,Cc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.167,0.41751085648839775,0.38619754225176794,
cand_68,O=C1CCC(N2C(=O)c3ccc(Br)c(O)c3C2=O)C(=O)N1,0.935,-5.813,0.33470077013188015,0.31294522007330794,
cand_69,CNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,-5.733,0.31712842351122783,0.3123714971585594,
cand_70,Cc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.568,0.5169934523609448,0.4833888779574835,
cand_71,CCc1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-6.163,0.41653839648976954,0.383215324770588,
cand_72,CCc1ccc(I)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-5.805,0.3329217229043747,0.30628798507202476,
cand_73,CN(C)c1cc2c(cc1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.219,0.43020862980746033,0.40654715516805,
cand_74,CNc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-5.753,0.3214753368833562,0.29414993324827093,
cand_75,CCc1c(OC)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-5.909,0.35640544077961955,0.34214922314843477,
cand_76,Cc1cc2c(cc1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.102,0.4017929560806008,0.3756764139353618,
cand_77,Cc1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.166,0.41726768102679546,0.3880589433549198,
cand_78,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(F)c3C2=O)C(=O)N1,0.95,-6.319,0.45487313289089665,0.4321294762463518,
cand_79,CCc1cc(OC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-5.894,0.3529721910540915,0.3282641376803051,
cand_80,Nc1cc(F)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,-5.725,0.3153984996765692,0.28070466471214656,
cand_81,NS(=O)(=O)c1ccc(O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.325,0.4563613127629212,0.42441602086951674,
cand_82,CCc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.963,0.3688857342751898,0.34121930420455054,
cand_83,CCc1ccc(C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,-5.924,0.3598535120310334,0.31847035814746455,
cand_84,COc1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.017,0.3815439695993676,0.36628221081539286,
cand_85,CCc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-5.848,0.3425389835307835,0.31171047501301297,
cand_86,O=C1CCC(N2C(=O)c3ccc(I)c(Cl)c3C2=O)C(=O)N1,0.965,-5.985,0.37402214223339625,0.36093136725522734,
cand_87,CN(C)c1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.271,0.4429988821891786,0.4208489380797196,
cand_88,CNc1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.313,0.45338575868105696,0.4261826131601935,
cand_89,CNc1cc(F)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.902,0.3548013954368177,0.3388353326421609,
cand_90,Cc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-5.907,0.35594681144072693,0.3274710665254688,
cand_91,CNc1cc2c(cc1NC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-5.764,0.323879452165739,0.307685479557452,
cand_92,CNc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.12,0.4061268970658573,0.38582055221256445,
cand_93,O=C1CCC(N2C(=O)c3cc([N+](=O)[O-])c(C(F)(F)F)cc3C2=O)C(=O)N1,0.86,-6.37,0.4675456936126812,0.40208929650690584,
cand_94,COc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.092,0.3993917804487254,0.38141915032853274,
cand_95,CNc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-5.991,0.37542797811716433,0.35102515953954866,
cand_96,N#Cc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.363,0.465803469499505,0.4448423133720273,
cand_97,CCc1c(N(C)C)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-5.803,0.3324777017263231,0.3191785936572702,
cand_98,NS(=O)(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.137,0.4102335450181969,0.391773035492378,
cand_99,Cc1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-5.804,0.33269967517290844,0.3127376946625339,
cand_100,O=C1CCC(N2C(=O)c3cc(Br)cc(O)c3C2=O)C(=O)N1,0.935,-5.927,0.3605448790762277,0.3371094619362729,
cand_101,NS(=O)(=O)c1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.362,0.4655546474317898,0.4306380488744056,
cand_102,Cc1cc(C(N)=O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-6.336,0.45909164817761844,0.42006885808252087,
cand_103,NS(=O)(=O)c1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.436,0.4840054590972979,0.4573851588469465,
cand_104,COc1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.88,0.34978145142617295,0.32354784256921,
cand_105,O=C1CCC(N2C(=O)c3cc(Cl)cc(Br)c3C2=O)C(=O)N1,0.94,-5.893,0.352743841823411,0.3315792113140063,
cand_106,COc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-5.813,0.33470077013188015,0.31461872392396734,
cand_107,CN(C)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-6.01,0.3798935676569098,0.3684967606272025,
cand_108,NC(=O)c1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-6.868,0.5909756196683741,0.5348329357998786,
cand_109,CNc1ccc(C(F)(F)F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,-5.902,0.3548013954368177,0.3193212558931359,
cand_110,NC(=O)c1ccc([N+](=O)[O-])c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.87,-6.009,0.3796580215222348,0.3303024787243443,
cand_111,O=C1CCC(N2C(=O)c3cc(Cl)cc(C(=O)O)c3C2=O)C(=O)N1,0.95,-6.106,0.4027547541256734,0.3826170164193897,
cand_112,CNc1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.699,0.5495864684250396,0.5138633479774121,
cand_113,NC(=O)c1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-6.447,0.4867531007331736,0.4453790871708539,
cand_114,COc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.302,0.4506610850117807,0.4236214199110738,
cand_115,CCc1cc2c(cc1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.176,0.41970122771085155,0.3882236356325377,
cand_116,O=C1CCC(N2C(=O)c3ccc(C(=O)O)c(C(=O)O)c3C2=O)C(=O)N1,0.945,-6.332,0.45809850598604357,0.43290308815681117,
cand_117,Nc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-5.985,0.37402214223339625,0.36280147796639434,
cand_118,NS(=O)(=O)c1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.271,0.4429988821891786,0.41641894925782785,
cand_119,NC(=O)c1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.502,0.5004999998333334,0.4629624998458334,
cand_120,CNc1ccc2c(c1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-5.794,0.33048329563973783,0.3073494649449562,
cand_121,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,0.935,-6.068,0.39364885129990906,0.368061675965415,
cand_122,O=C1CCC(N2C(=O)c3ccc(I)c(I)c3C2=O)C(=O)N1,0.96,-5.808,0.3335883110696085,0.32024477862682416,
cand_123,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)cc3C2=O)C(=O)N1,0.985,-6.11,0.40371730070321227,0.39766154119266406,
cand_124,CCc1c(NC)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.688,0.30746447165004337,0.2936285704257914,
cand_125,COc1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-6.096,0.4003516774075941,0.3643200264409106,
cand_126,COc1c(C(N)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-6.172,0.41872733339077445,0.3789482367186509,
cand_127,N#Cc1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.567,0.5167437369156502,0.49349026875444596,
cand_128,O=C1CCC(N2C(=O)c3cc(Cl)cc(F)c3C2=O)C(=O)N1,0.96,-6.045,0.3881726309982629,0.3726457257583323,
cand_129,CCc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.402,0.4755195893532669,0.4422332180985382,
cand_130,O=C1CCC(N2C(=O)c3cc(Cl)c(I)cc3C2=O)C(=O)N1,0.935,-5.833,0.33916891610855165,0.3171229365614958,
cand_131,Nc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-5.857,0.344568700496514,0.3170032044567929,
cand_132,COc1c(N(C)C)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-5.885,0.35091947575542665,0.3281097098313239,
cand_133,CCc1cc(NC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.892,0.3525155598344842,0.3260768928468979,
cand_134,N#Cc1cc2c(c(S(N)(=O)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.333,0.45834676063239577,0.42855422119129005,
cand_135,Nc1ccc(Cl)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.177,0.41994479935622675,0.38844893940450975,
cand_136,NS(=O)(=O)c1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.384,0.4710324749690484,0.4451256888457507,
cand_137,COc1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.099,0.40107210287025535,0.37901313721239127,
cand_138,CCc1cc2c(cc1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.106,0.4027547541256734,0.38060324264876133,
cand_139,O=C1CCC(N2C(=O)c3cc(I)cc(F)c3C2=O)C(=O)N1,0.925,-5.99,0.37519352553157076,0.347054011116703,
cand_140,CCc1ccc2c(c1N(C)C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-5.54,0.27687819487561016,0.2505747663624272,
cand_141,CN(C)c1cc(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.228,0.4324161639899626,0.40430911333061503,
cand_142,NS(=O)(=O)c1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,-6.367,0.4667989267261696,0.42011903405355266,
cand_143,CN(C)c1cc2c(cc1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.338,0.45958834166338,0.4389068662885279,
cand_144,Cc1cc(C(N)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,-6.318,0.4546251805350073,0.40916266248150657,
